品質	ultra detailed,best quality,high resolution	全体品質
品質	beautifully detailed hair,defined detailed face,beautiful detailed eyes	顔の品質
品質	detailed background	背景品質
構図	full body	全身
構図	cowboy shot	膝から上
構図	upper body	上半身
構図	portrait	頭から肩まで
構図	close-up	顔のみ
構図	dutch angle	カメラを傾ける
構図	profile	横顔
表情	crying	泣き顔
表情	frown	しかめっ面
表情	kind smile	優しい笑顔
表情	seductive smile	蠱惑的
表情	evil smile	小悪魔
表情	evil grin	小悪魔（歯見せ）
表情	naughty smile	悪い笑顔
表情	teasing smile	小馬鹿にした笑顔
表情	smirk	不敵な笑み
表情	smug face	ドヤ顔
表情	serious	まじめ
表情	clear face,expressionless	すまし顔
表情	nervous	緊張
表情	arrogance	不敵な表情
表情	badmood	不機嫌
表情	staring	見つめる
表情	surprised	驚き
表情	unamused	むっ
表情	embarrassed	恥ずかしい
表情	mysterious smile	ミステリアスな笑み
表情	expressionless	無表情
表情	:o	きょとん
表情	clenched teeth	歯を食いしばる
表情	blush	赤面
表情	>_<,closed eyes	不等号目
表情	@_@	ぐるぐる目
表情	tears	涙
表情	anguish	苦悶
服	pleated skirt	プリーツスカート
服	pencil skirt	タイトスカート
服	bare shoulder	肩出し
服	gloves	手袋
服	thighhighs	ニーハイ
服	black lace	黒レース
服	fishnet tights	網タイツ
服	stockings	ストッキング
服	high socks	ハイソックス
服	pantyhose	タイツ
服	garter straps	ガーターベルト
服	sneakers	スニーカー
服	lace-up boots	編み上げブーツ
服	sandal	サンダル
服	loafers	ローファー
服	high heels	ハイヒール
服	babydoll	ベビードール
服	negligee	ネグリジェ
服	nightgown	ナイトガウン
服	pajamas	パジャマ
服	halter-necked bikini	ホルターネックビキニ水着
服	Cross Halter Bikini	クロス・ホルター・ビキニ水着
服	school swimsuit,sleeveless	スクール水着
服	side-tie bikini bottom	紐パンのビキニ水着
服	micro bikini	マイクロビキニ水着
服	slingshot swimsuit, nsfw,	スリングショット・ビキニ水着
服	frilled bikini	フリル付きビキニ水着
服	monokini	モノキニ水着
服	bandeau bikini	バンドゥ・ビキニ水着（胸の部分がチューブトップ型）
服	twisted bandeau bikini	捻ったバンドゥ・ビキニ水着（胸の部分がチューブトップ型）
服	bow front bikini	リボンがフロントにあしらわれたビキニ水着
服	tank-top bikini	タンキニ水着
服	off-shoulder bikini	オフショルダービキニ水着
服	competition swimsuit	競泳水着
服	sarong	パレオ
服	shell bikini	貝殻水着
髪	messy hair	ぼさぼさ髪
髪	floating hair	風にそよぐ髪
髪	disheveled hair	乱れ髪
小物	Stuffed cat	猫のぬいぐるみ
ポーズ	looking back	見返り
ポーズ	finger pointing	指さし
ポーズ	laying down	横たわる
ポーズ	on stomach	うつぶせ寝
ポーズ	on side	横向き寝
ポーズ	on back	仰向け寝
ポーズ	squatting	蹲踞
ポーズ	kneeling	膝立ち
ポーズ	leaning forward	前かがみ
ポーズ	fetal position	丸まって寝る
